year,fuel,seller_type,transmission,owner,brand,km_dr_gr,mpow_val
25,1,1,1,1,19,4.0,82
25,0,1,1,1,13,4.3979400086720375,100
17,0,1,1,2,13,5.0,115
13,1,1,0,2,14,4.845098040014256,152
23,1,1,1,1,23,4.477121254719662,67
22,1,1,1,1,13,4.602059991327962,82
20,1,1,1,1,21,4.544068044350275,67
10,1,1,1,2,19,5.079181246047624,94
18,0,1,1,1,13,5.079181246047624,62
18,0,1,1,2,22,5.278753600952829,69
22,0,1,1,1,13,5.079181246047624,62
17,0,1,1,3,13,5.243038048686294,63
17,0,1,1,3,13,5.243038048686294,63
19,0,1,1,1,22,4.903089986991943,89
23,0,1,1,2,19,4.845098040014256,71
24,1,1,1,1,19,4.0,82
25,1,1,1,1,16,3.778151250383643,95
19,0,1,1,2,15,4.954242509439324,104
18,0,1,1,2,13,5.0413926851582245,63
13,0,1,1,3,13,5.079181246047624,63
20,0,1,1,1,11,4.698970004336019,101
24,1,1,0,1,19,4.30102999566398,82
23,1,1,1,1,20,4.544068044350275,67
20,0,1,1,2,17,4.778151250383643,89
16,1,1,1,4,26,4.832508912706236,79
21,1,1,1,1,21,4.477121254719662,82
23,0,1,1,1,13,4.732393759822968,140
12,0,1,1,3,22,5.079181246047624,68
24,1,1,1,1,19,4.477121254719662,82
23,0,1,1,1,22,4.698970004336019,69
26,1,1,1,1,21,3.778151250383643,67
17,1,1,1,2,21,4.698970004336019,73
18,0,1,1,3,13,4.954242509439324,120
14,0,1,1,3,11,5.1003705451175625,102
19,0,1,1,1,22,4.954242509439324,69
23,1,1,1,1,16,4.903089986991943,87
17,0,1,1,2,13,4.845098040014256,120
17,1,1,1,2,19,4.903089986991943,55
19,1,1,1,2,19,4.903089986991943,55
11,1,1,1,2,21,5.1760912590556805,46
12,0,1,1,4,22,5.0413926851582245,53
22,0,1,1,2,21,5.0413926851582245,88
16,0,1,1,4,17,4.903089986991943,74
25,1,1,1,1,19,4.30102999566398,82
17,0,1,1,1,13,5.079181246047624,95
22,0,1,1,1,13,5.079181246047624,63
16,0,1,1,2,25,4.903089986991943,91
21,0,1,1,2,19,4.961421094066448,70
18,0,1,1,2,21,5.079181246047624,74
18,0,1,1,2,19,5.0,90
18,0,1,1,4,13,5.079181246047624,112
23,1,1,1,1,14,4.903089986991943,87
21,0,1,1,1,13,4.954242509439324,75
22,1,1,1,1,21,4.845098040014256,67
