iter	Passed	Remaining
938	2493	161
939	2495	159
940	2498	156
941	2501	153
942	2503	151
943	2505	148
944	2507	145
945	2509	143
946	2510	140
947	2513	137
948	2516	135
949	2518	132
950	2520	129
951	2521	127
952	2523	124
953	2525	121
954	2527	119
955	2531	116
956	2533	113
957	2535	111
958	2537	108
959	2538	105
960	2540	103
961	2542	100
962	2546	97
963	2548	95
964	2550	92
965	2552	89
966	2554	87
967	2556	84
968	2558	81
969	2561	79
970	2563	76
971	2565	73
972	2567	71
973	2569	68
974	2571	65
975	2573	63
976	2575	60
977	2578	58
978	2580	55
979	2582	52
980	2583	50
981	2585	47
982	2587	44
983	2589	42
984	2591	39
985	2594	36
986	2596	34
987	2598	31
988	2600	28
989	2602	26
990	2603	23
991	2605	21
992	2608	18
993	2611	15
994	2613	13
995	2614	10
996	2616	7
997	2618	5
998	2620	2
999	2622	0
